comune,comune_normalized,regione,provincia,sigla_prov,lat,lon
Agliè,aglie,Piemonte,Torino,TO,45.367055,7.766918
Airasca,airasca,Piemonte,Torino,TO,44.917042,7.484321
Ala di Stura,ala di stura,Piemonte,Torino,TO,45.31515,7.305909
Albiano d'Ivrea,albiano d'ivrea,Piemonte,Torino,TO,45.432959,7.950621
Almese,almese,Piemonte,Torino,TO,45.116876,7.39455
Alpette,alpette,Piemonte,Torino,TO,45.408916,7.578978
Alpignano,alpignano,Piemonte,Torino,TO,45.095724,7.525403
Andezeno,andezeno,Piemonte,Torino,TO,45.037748,7.870527
Andrate,andrate,Piemonte,Torino,TO,45.52736,7.880318
Angrogna,angrogna,Piemonte,Torino,TO,44.843582,7.223816
Arignano,arignano,Piemonte,Torino,TO,45.040275,7.901594
Avigliana,avigliana,Piemonte,Torino,TO,45.077944,7.39839
Azeglio,azeglio,Piemonte,Torino,TO,45.423459,7.993922
Bairo,bairo,Piemonte,Torino,TO,45.386587,7.755447
Balangero,balangero,Piemonte,Torino,TO,45.275323,7.520282
Baldissero Canavese,baldissero canavese,Piemonte,Torino,TO,45.410256,7.744217
Baldissero Torinese,baldissero torinese,Piemonte,Torino,TO,45.068636,7.816531
Balme,balme,Piemonte,Torino,TO,45.302504,7.215432
Banchette,banchette,Piemonte,Torino,TO,45.453558,7.856318
Barbania,barbania,Piemonte,Torino,TO,45.291252,7.630317
Bardonecchia,bardonecchia,Piemonte,Torino,TO,45.078339,6.703205
Barone Canavese,barone canavese,Piemonte,Torino,TO,45.325527,7.873063
Beinasco,beinasco,Piemonte,Torino,TO,45.022097,7.579397
Bibiana,bibiana,Piemonte,Torino,TO,44.798937,7.288219
Bobbio Pellice,bobbio pellice,Piemonte,Torino,TO,44.807952,7.116764
Bollengo,bollengo,Piemonte,Torino,TO,45.470859,7.94202
Borgaro Torinese,borgaro torinese,Piemonte,Torino,TO,45.152145,7.657973
Borgiallo,borgiallo,Piemonte,Torino,TO,45.417055,7.668515
Borgofranco d'Ivrea,borgofranco d'ivrea,Piemonte,Torino,TO,45.51286,7.858017
Borgomasino,borgomasino,Piemonte,Torino,TO,45.363257,7.987523
Borgone Susa,borgone susa,Piemonte,Torino,TO,45.122844,7.239712
Bosconero,bosconero,Piemonte,Torino,TO,45.26755,7.7666
Brandizzo,brandizzo,Piemonte,Torino,TO,45.176606,7.838004
Bricherasio,bricherasio,Piemonte,Torino,TO,44.823409,7.305296
Brosso,brosso,Piemonte,Torino,TO,45.492502,7.803288
Brozolo,brozolo,Piemonte,Torino,TO,45.117436,8.073603
Bruino,bruino,Piemonte,Torino,TO,45.021152,7.468551
Brusasco,brusasco,Piemonte,Torino,TO,45.155492,8.060103
Bruzolo,bruzolo,Piemonte,Torino,TO,45.142226,7.195648
Buriasco,buriasco,Piemonte,Torino,TO,44.87364,7.41032
Burolo,burolo,Piemonte,Torino,TO,45.48116,7.93392
Busano,busano,Piemonte,Torino,TO,45.329438,7.655732
Bussoleno,bussoleno,Piemonte,Torino,TO,45.139271,7.147717
Buttigliera Alta,buttigliera alta,Piemonte,Torino,TO,45.068804,7.434488
Cafasse,cafasse,Piemonte,Torino,TO,45.24596,7.517235
Caluso,caluso,Piemonte,Torino,TO,45.304955,7.895722
